City	Climate_Type	Climate_Desc
昆明	亚热带湿润气候	四季如春
贵阳	亚热带湿润气候	四季如春
珠海	亚热带湿润气候	冬暖夏热
海口	亚热带湿润气候	冬暖夏热
长沙	亚热带湿润气候	四季分明
南宁	亚热带湿润气候	冬暖夏热
厦门	亚热带湿润气候	冬暖夏热
三亚	热带气候	全年炎热
成都	亚热带湿润气候	四季分明
南京	亚热带湿润气候	四季分明
惠州	亚热带湿润气候	冬暖夏热
福州	亚热带湿润气候	冬暖夏热
南平	亚热带湿润气候	四季分明
宁波	亚热带湿润气候	四季分明
丽水	亚热带湿润气候	四季分明
杭州	亚热带湿润气候	四季分明
宁德	亚热带湿润气候	四季分明
中山	亚热带湿润气候	冬暖夏热
大理	亚热带湿润气候	四季如春
威海	温带大陆性气候	冬冷夏热
丽江	亚热带湿润气候	四季如春
无锡	亚热带湿润气候	四季分明
苏州	亚热带湿润气候	四季分明
烟台	温带大陆性气候	冬冷夏热
青岛	温带大陆性气候	冬冷夏热
合肥	亚热带湿润气候	四季分明
漳州	亚热带湿润气候	冬暖夏热
潮州	亚热带湿润气候	冬暖夏热
汕头	亚热带湿润气候	冬暖夏热
南通	亚热带湿润气候	四季分明
金华	亚热带湿润气候	四季分明
泰州	亚热带湿润气候	四季分明
常州	亚热带湿润气候	四季分明
重庆	亚热带湿润气候	四季分明
泉州	亚热带湿润气候	冬暖夏热
绍兴	亚热带湿润气候	四季分明
湖州	亚热带湿润气候	四季分明
嘉兴	亚热带湿润气候	四季分明
温州	亚热带湿润气候	四季分明
绵阳	亚热带湿润气候	四季分明
镇江	亚热带湿润气候	四季分明
宜昌	亚热带湿润气候	四季分明
扬州	亚热带湿润气候	四季分明
济南	温带大陆性气候	冬冷夏热
岳阳	亚热带湿润气候	四季分明
芜湖	亚热带湿润气候	四季分明
上海	亚热带湿润气候	四季分明
北京	温带大陆性气候	冬冷夏热
广州	亚热带湿润气候	冬暖夏热
深圳	亚热带湿润气候	冬暖夏热
武汉	亚热带湿润气候	四季分明
西安	温带大陆性气候	冬冷夏热
郑州	温带大陆性气候	冬冷夏热
天津	温带大陆性气候	冬冷夏热
大连	温带大陆性气候	冬冷夏热
沈阳	寒温带气候	冬季严寒
哈尔滨	寒温带气候	冬季严寒
南昌	亚热带湿润气候	四季分明
太原	温带大陆性气候	冬冷夏热
石家庄	温带大陆性气候	冬冷夏热
兰州	温带大陆性气候	冬冷夏热
长春	寒温带气候	冬季严寒
呼和浩特	寒温带气候	冬季严寒
银川	温带大陆性气候	冬冷夏热
西宁	高原山地气候	全年凉爽
拉萨	高原山地气候	全年凉爽
桂林	亚热带湿润气候	四季分明
北海	亚热带湿润气候	冬暖夏热
湛江	亚热带湿润气候	冬暖夏热
黄山	亚热带湿润气候	四季分明
张家界	亚热带湿润气候	四季分明
洛阳	温带大陆性气候	冬冷夏热
秦皇岛	温带大陆性气候	冬冷夏热
徐州	温带大陆性气候	冬冷夏热
连云港	温带大陆性气候	冬冷夏热
盐城	亚热带湿润气候	四季分明
六安	亚热带湿润气候	四季分明
襄阳	亚热带湿润气候	四季分明
柳州	亚热带湿润气候	冬暖夏热
遵义	亚热带湿润气候	四季如春
赣州	亚热带湿润气候	四季分明
九江	亚热带湿润气候	四季分明
唐山	温带大陆性气候	冬冷夏热
包头	寒温带气候	冬季严寒
济宁	温带大陆性气候	冬冷夏热
临沂	温带大陆性气候	冬冷夏热
潍坊	温带大陆性气候	冬冷夏热
淄博	温带大陆性气候	冬冷夏热
鞍山	寒温带气候	冬季严寒
保定	温带大陆性气候	冬冷夏热
廊坊	温带大陆性气候	冬冷夏热
佛山	亚热带湿润气候	冬暖夏热
东莞	亚热带湿润气候	冬暖夏热
