City	Country	EF_EPI_Band	Safety Index	Cultural Tags
Chiang Mai	Thailand	Very Low	77.9	工艺与民间艺术之都(UNESCO),兰纳古都,寺庙之城
Bandung	Indonesia	Low	60.24	艺术之都,购物天堂,创意之城
Hanoi	Vietnam	Moderate	66.2	千年古都,文化之都,文庙之城
Ho Chi Minh City	Vietnam	Moderate	49.6	经济之都,活力之城,美食之城
Da Nang	Vietnam	Moderate	76.65	度假之城,海滩之城,会安门户
Istanbul	Turkey	Low	52.0	历史之都,东西交汇之城,帝国之都
Porto	Portugal	Very High	66.6	葡萄酒之城,港口之城,桥梁之城
Kuala Lumpur	Malaysia	High	40.9	多元文化之都,双子塔之城,美食天堂
Bangkok	Thailand	Very Low	61.8	设计之都(UNESCO),寺庙之城,美食之都
Bali (Denpasar)	Indonesia	Low	49.0	艺术之岛,度假天堂,千寺之岛
Chengdu	China	Low	79.91	美食之都(UNESCO),熊猫之都,休闲之都
Daegu	South Korea	Moderate	72.21	纺织之城,时尚之都,医疗之城
Daejeon	South Korea	Moderate	71.96	科技之城,科学之都,教育之城
Gwangju	South Korea	Moderate	54.51	光之都,艺术之都,民主之城
Jeonju	South Korea	Moderate	83.79	美食之都,韩屋之城,古城
Chuncheon	South Korea	Moderate	59.06	湖城,文艺之城,韩流之城
Yeosu	South Korea	Moderate	N/A	海洋城市,港口之城,世博之城
Nagasaki	Japan	Low	95.88	异文化交汇之城,港口之城,和平之城
Nara	Japan	Low	67.65	古都,寺庙之都,鹿之都
Okayama	Japan	Low	N/A	晴天之国,水果之城,后乐园之城
Adelaide	Australia	Native	66.8	艺术之城,节庆之都,南澳之都
Brisbane	Australia	Native	61.8	阳光之城,河畔之城,户外之都
Perth	Australia	Native	57.7	阳光之城,孤城,天鹅河之城
Berlin	Germany	Very High	55.5	设计之都(UNESCO),创意之都,历史之都
Hamburg	Germany	Very High	60.3	港口之城,音乐剧之都,传媒之都
Lisbon	Portugal	Very High	67.4	七丘之城,航海之都,瓷砖之城
Edinburgh	United Kingdom	Native	69.6	文学之都(UNESCO),古都,节庆之都
Düsseldorf	Germany	Very High	67.3	时尚之都,艺术之都,传媒之城
Valencia	Spain	Moderate	65.3	美食之都,科学之城,海滩之城
Wellington	New Zealand	Native	66.7	创意之都(UNESCO),风之都,电影之城
Denver	United States	Native	52.0	里高城(Mile High),啤酒之城,户外之都
Portland	United States	Native	41.7	玫瑰之城,文艺之都,咖啡之城
Atlanta	United States	Native	35.8	电影之都,音乐之城,南方之都
Houston	United States	Native	36.8	太空城(Space City),能源之都,多元之城
Taipei	Taiwan	Moderate	83.5	美食之都,科技之城,文创之都
Shanghai	China	Low	73.5	设计之都(UNESCO),东方明珠,金融之都
Busan	South Korea	Moderate	73.77	海洋城市,港口之城,电影节之城
Incheon	South Korea	Moderate	68.21	港口之城,机场之城,经济自由城
Jeju Island	South Korea	Moderate	57.38	度假之岛,火山岛,蜜月之岛
Nagoya	Japan	Low	90.99	工业之都,制造业之城,汽车之城
Sapporo	Japan	Low	92.86	媒体艺术之都(UNESCO),冰雪之城,啤酒之城
Fukuoka	Japan	Low	85.28	拉面之都,港口之城,生活宜居之城
Copenhagen	Denmark	Very High	74.3	设计之都,自行车之城,北欧之都
Vienna	Austria	Very High	71.6	音乐之都(UNESCO),艺术之都,咖啡之城
Osaka	Japan	Low	67.0	美食之都,商业之都,天下厨房
Auckland	New Zealand	Native	49.5	帆船之城,千帆之都,多元之城
Vancouver	Canada	Native	57.3	电影之都,多元文化之城,山海之城
Luxembourg City	Luxembourg	High	72.1	金融之都,欧盟之城,堡垒之城
Toronto	Canada	Native	56.5	多元文化之都,电影之城,教育之都
Tokyo	Japan	Low	74.9	时尚之都,美食之都,科技之城
Amsterdam	Netherlands	Very High	74.3	设计之都,运河之城,自由之城
Munich	Germany	Very High	78.9	啤酒之都,艺术之城,汽车之城
Stockholm	Sweden	Very High	53.5	设计之都,北欧威尼斯,博物馆之都
Dublin	Ireland	Native	45.8	文学之都(UNESCO),酒吧之城,音乐之城
Frankfurt	Germany	Very High	55.5	金融之都,书展之城,交通枢纽
Madrid	Spain	High	71.3	艺术之都,足球之城,博物馆之都
Barcelona	Spain	Moderate	48.1	建筑之都(UNESCOdesign),艺术之都,足球之城
Milan	Italy	Moderate	46.5	时尚之都,设计之都,歌剧之都
Rome	Italy	Moderate	52.7	永恒之城,历史之都,艺术之都
Seattle	United States	Native	44.8	咖啡之城,科技之城,翡翠之城
Washington D.C.	United States	Native	40.2	政治之都,博物馆之城,樱花之都
The Hague	Netherlands	Very High	80.0	和平之城,国际司法之都,皇城
Kyoto	Japan	Low	85.76	千年古都,寺庙之都,文化之都
Boston	United States	Native	60.3	学术之都,历史之城,自由之路
Honolulu	United States	Native	52.5	度假天堂,海滩之城,彩虹之城
Seoul	South Korea	High	75.3	设计之都,K-POP之都,时尚之都
Miami	United States	Native	46.7	海滩之城,艺术之都,派对之都
Kobe	Japan	Low	83.49	港口之城,美食之城(神户牛),异国风情
Singapore	Singapore	Native	77.5	花园城市,狮城,美食天堂
